reported,type,quantity,net_length,rope_length,latitude,longitude
2019-05-09,CASIER/CAGE - TRAP/POT,1,0,0,47.6102777777778,-60.5616666666667
2019-05-09,CASIER/CAGE - TRAP/POT,1,0,0,47.6061111111111,-60.5666666666667
2019-05-09,CASIER/CAGE - TRAP/POT,1,0,510,47.6038888888889,-60.5538888888889
2019-05-09,CASIER/CAGE - TRAP/POT,1,0,510,47.5997222222222,-60.5597222222222
2019-05-09,CASIER/CAGE - TRAP/POT,1,0,510,47.5941666666667,-60.5580555555556
2019-05-09,CASIER/CAGE - TRAP/POT,1,0,510,47.585,-60.5641666666667
2019-05-13,CASIER/CAGE - TRAP/POT,1,0,0,45.1930555555556,-61.2405555555556
2019-05-08,CASIER/CAGE - TRAP/POT,1,0,0,47.7216666666667,-61.5555555555556
2019-05-08,CASIER/CAGE - TRAP/POT,1,0,0,47.7222222222222,-61.4333333333333
2019-05-18,CASIER/CAGE - TRAP/POT,1,0,0,47.8272222222222,-61.4380555555556
2019-05-18,CASIER/CAGE - TRAP/POT,1,0,0,47.7538888888889,-63.1269444444444
2019-05-20,CASIER/CAGE - TRAP/POT,3,0,0,45.5536111111111,-60.9352777777778
2019-05-20,CASIER/CAGE - TRAP/POT,1,0,50,46.7675,-63.9691666666667
2019-05-13,CASIER/CAGE - TRAP/POT,0,0,340,48.1419444444444,-64.51
2019-05-13,CASIER/CAGE - TRAP/POT,5,1,426,46.4727777777778,-61.1569444444444
2019-05-08,CASIER/CAGE - TRAP/POT,1,1,1,46.3594444444444,-61.24
2019-05-08,CASIER/CAGE - TRAP/POT,5,5,426,46.3705555555556,-61.2730555555556
2019-05-20,CASIER/CAGE - TRAP/POT,1,0,0,46.5538888888889,-63.0388888888889
2019-05-19,CASIER/CAGE - TRAP/POT,1,0,2,47.4561111111111,-62.0111111111111
2019-05-20,CASIER/CAGE - TRAP/POT,1,0,0,47.7291666666667,-61.5511111111111
2019-05-17,CASIER/CAGE - TRAP/POT,1,0,120,47.1680555555556,-63.0916666666667
2019-05-20,CASIER/CAGE - TRAP/POT,1,0,0,45.0883333333333,-61.7538888888889
2019-05-21,CASIER/CAGE - TRAP/POT,1,0,0,45.0925,-61.6905555555556
2019-05-21,CASIER/CAGE - TRAP/POT,2,0,264,45.0538888888889,-61.6711111111111
2019-05-19,CASIER/CAGE - TRAP/POT,1,0,0,47.4561111111111,-62.0111111111111
2019-05-21,CASIER/CAGE - TRAP/POT,1,0,0,47.4688888888889,-61.3408333333333
2019-05-21,CASIER/CAGE - TRAP/POT,7,0,0,46.4852777777778,-62.0166666666667
2019-05-14,CASIER/CAGE - TRAP/POT,1,0,450,47.5583333333333,-63.5416666666667
2019-05-16,CASIER/CAGE - TRAP/POT,1,0,0,47.1730555555556,-63.9502777777778
2019-05-11,CASIER/CAGE - TRAP/POT,1,0,0,46.4769444444444,-62.4166666666667
2019-05-13,CASIER/CAGE - TRAP/POT,1,0,0,47.83,-63.7083333333333
2019-05-10,CASIER/CAGE - TRAP/POT,1,0,0,47.7052777777778,-61.5852777777778
2019-05-16,CASIER/CAGE - TRAP/POT,16,0,4000,46.7688888888889,-61.5405555555556
2019-05-14,CASIER/CAGE - TRAP/POT,1,0,0,47.1952777777778,-63.9397222222222
2019-05-18,CASIER/CAGE - TRAP/POT,4,0,250,47.4569444444444,-64.8358333333333
2019-05-22,CASIER/CAGE - TRAP/POT,1,0,0,14.3844444444444,-29.9169444444444
2019-05-21,CASIER/CAGE - TRAP/POT,1,0,0,45.7494444444444,-62.2544444444444
2019-05-19,CASIER/CAGE - TRAP/POT,1,0,225,48.0355555555556,-63.5772222222222
2019-05-23,CASIER/CAGE - TRAP/POT,1,0,70,49.4005555555556,-79.9355555555556
2019-05-20,CASIER/CAGE - TRAP/POT,1,0,500,47.4855555555556,-62.4077777777778
2019-05-22,CASIER/CAGE - TRAP/POT,1,0,0,46.6852777777778,-63.825
2019-05-22,CASIER/CAGE - TRAP/POT,1,0,0,46.7386111111111,-63.9875
2019-05-23,CASIER/CAGE - TRAP/POT,1,0,0,47.4766666666667,-61.3525
2019-05-19,CASIER/CAGE - TRAP/POT,1,0,500,47.9186111111111,-63.3380555555556
2019-05-23,CASIER/CAGE - TRAP/POT,1,0,450,47.7980555555556,-63.0286111111111
2019-05-20,CASIER/CAGE - TRAP/POT,1,0,1,14.2777777777778,-29.5388888888889
2019-05-19,CASIER/CAGE - TRAP/POT,1,0,550,47.95,-62.765
2019-05-21,CASIER/CAGE - TRAP/POT,1,0,0,47.7980555555556,-61.2386111111111
2019-05-10,CASIER/CAGE - TRAP/POT,1,0,0,47.3202777777778,-61.6
2019-05-20,CASIER/CAGE - TRAP/POT,1,0,0,47.3075,-61.5838888888889
2019-05-17,CASIER/CAGE - TRAP/POT,1,0,120,48.1161111111111,-64.2705555555556
2019-05-19,CASIER/CAGE - TRAP/POT,1,0,500,47.9091666666667,-63.7575
2019-05-16,CASIER/CAGE - TRAP/POT,1,0,0,46.0936111111111,-61.9969444444444
2019-05-13,CASIER/CAGE - TRAP/POT,1,0,420,48.1852777777778,-63.4566666666667
2019-05-13,CASIER/CAGE - TRAP/POT,1,0,420,48.1916666666667,-63.4708333333333
2019-05-17,CASIER/CAGE - TRAP/POT,5,0,540,45.9044444444444,-62.8055555555556
2019-05-16,CASIER/CAGE - TRAP/POT,1,0,0,47.2205555555556,-64.9858333333333
2019-05-16,CASIER/CAGE - TRAP/POT,1,0,0,47.2030555555556,-65.0019444444444
2019-05-17,CASIER/CAGE - TRAP/POT,2,70,70,45.8841666666667,-63.5469444444444
2019-05-23,CASIER/CAGE - TRAP/POT,1,0,0,46.6855555555556,-63.8522222222222
2019-05-23,CASIER/CAGE - TRAP/POT,6,0,684,46.9783333333333,-63.8930555555556
2019-05-23,CASIER/CAGE - TRAP/POT,1,0,120,46.7233333333333,-63.8272222222222
2019-05-13,CASIER/CAGE - TRAP/POT,1,0,0,46.9916666666667,-62.8430555555556
2019-05-10,CASIER/CAGE - TRAP/POT,1,0,450,46.7830555555556,-61.7825
2019-05-11,CASIER/CAGE - TRAP/POT,1,0,450,46.7502777777778,-61.4997222222222
2019-05-11,CASIER/CAGE - TRAP/POT,1,0,450,46.8586111111111,-61.9080555555556
2019-05-14,CASIER/CAGE - TRAP/POT,1,0,0,46.8758333333333,-61.905
2019-05-10,CASIER/CAGE - TRAP/POT,1,0,450,46.7819444444444,-61.7663888888889
2019-05-10,CASIER/CAGE - TRAP/POT,1,0,450,46.7497222222222,-61.4963888888889
2019-05-08,CASIER/CAGE - TRAP/POT,1,0,450,46.7727777777778,-61.7163888888889
2019-05-12,CASIER/CAGE - TRAP/POT,1,0,100,48.0833333333333,-63.6416666666667
