"Last date the gear was known to be at this locaiton / La date à laquelle l’engin a été repéré à cet endroit pour
la dernière fois",Gear Type / Type d’engin,Number of Units / Nombre d’engins perdus ,Estimated Length of Netting Lost / Longueur estimée de filets perdus,Estimated Length of Rope Lost / Longueur estimée de corde perdue,Latitude,Longitude
2019-05-13,CASIER/CAGE - TRAP/POT,1,0,250,"47°59'98"" N","63°39'96"" W"
2019-05-13,CASIER/CAGE - TRAP/POT,1,0,300,"48°02'12"" N","63°27'06"" W"
2019-05-13,CASIER/CAGE - TRAP/POT,1,0,600,"48°05'33"" N","63°33'76"" W"
2019-05-13,CASIER/CAGE - TRAP/POT,1,0,600,"48°15'92"" N","64°09'38"" W"
2019-05-13,CASIER/CAGE - TRAP/POT,1,0,600,"48°02'46"" N","63°44'46"" W"
2019-05-12,CASIER/CAGE - TRAP/POT,1,0,150,"48°13'44"" N","64°16'84"" W"
2019-05-13,CASIER/CAGE - TRAP/POT,1,0,510,"47°54'87"" N","65°09'50"" W"
2019-05-07,CASIER/CAGE - TRAP/POT,2,0,0,See Notes,See Notes
N/A,CASIER/CAGE - TRAP/POT,70,0,0,See Notes,See Notes
2019-05-14,CASIER/CAGE - TRAP/POT,1,0,450,"47°25'37"" N","63°31'63"" W"
2019-05-10,CASIER/CAGE - TRAP/POT,1,0,400,"47°46'06"" N","62°33'56"" W"
2019-05-14,CASIER/CAGE - TRAP/POT,1,0,450,"47°46'258"" N","63°07'066"" W"
2019-05-10,CASIER/CAGE - TRAP/POT,1,0,450,"49°54'47"" N","63°21'18"" W"
2019-05-10,CASIER/CAGE - TRAP/POT,1,0,450,"49°54'47"" N","63°21'18"" W"
2019-05-10,CASIER/CAGE - TRAP/POT,1,0,450,"49°54'28"" N","63°17'07"" W"
2019-05-09,CASIER/CAGE - TRAP/POT,1,0,500,"47°50'23"" N","63°19'05"" W"
2019-05-11,CASIER/CAGE - TRAP/POT,1,0,0,"47°41'782"" N","63°25'319"" W"
2019-05-14,CASIER/CAGE - TRAP/POT,1,0,0,"47°22'159"" N","55°18'245"" W"
2019-05-05,CASIER/CAGE - TRAP/POT,1,0,900,"45°36'972"" N","59°39'367"" W"
2019-05-05,CASIER/CAGE - TRAP/POT,1,0,900,"45°37'229"" N","59°32'473"" W"
