"TARGET NAME";"LAT";"LON";"CLASS"
"Sonar Contact 209";48.0107663173743;-65.0379275990016;"casier"
"Sonar Contact 210";48.0106912798941;-65.0384257579866;"casier"
"Sonar Contact 211";48.0101964038125;-65.0379815088904;"casier"
"Sonar Contact 212";48.0097446320774;-65.0384148113362;"casier"
"Sonar Contact 213";48.0093467005995;-65.0372800143765;"casier"
"Sonar Contact 214";48.0090072780997;-65.0384541956909;
"Sonar Contact 215";48.008647262654;-65.0370359053878;
"Sonar Contact 216";48.0078026012418;-65.0382705502001;
"Sonar Contact 217";48.0076585205855;-65.0378637626326;"casier"
"Sonar Contact 218";48.0074792134476;-65.0392782886335;
"Sonar Contact 219";48.0060001484097;-65.0404537022809;"casier"
"Sonar Contact 220";48.006066860659;-65.0406227081722;
"Sonar Contact 221";48.0039113537603;-65.039702083751;"casier"
"Sonar Contact 222";48.0040869775084;-65.0415787889075;"casier"
"Sonar Contact 223";48.0039045999441;-65.041730421912;"casier"
"Sonar Contact 224";48.0032402367223;-65.0407504287893;"casier"
"Sonar Contact 225";48.0027131537583;-65.0402285661517;"casier"
"Sonar Contact 226";48.0013395391488;-65.0427971217458;
"Sonar Contact 227";47.99506670747;-65.0477270192466;"casier"
"Sonar Contact 228";47.9946318509379;-65.0471542982844;
"Sonar Contact 229";47.9941488006394;-65.0475400359395;"casier"
"Sonar Contact 230";47.9935418833367;-65.0461719827679;
"Sonar Contact 231";47.9864514043439;-65.0523696733037;"casier"
"Sonar Contact 232";47.9844256359536;-65.0523322716439;
"Sonar Contact 233";47.9829371344163;-65.0563289649973;
"Sonar Contact 234";47.9825129758553;-65.057412066015;
"Sonar Contact 235";47.9824212048584;-65.0581888726412;
"Sonar Contact 236";47.9766660891122;-65.0940248507921;"casier"
"Sonar Contact 237";47.9766395082182;-65.0944690617662;
"Sonar Contact 238";47.9751338803654;-65.0991658918942;"casier"
"Sonar Contact 239";47.975100846691;-65.1052514436811;"casier"
"Sonar Contact 240";47.9733063112924;-65.1077241436321;"casiercasier"
"Sonar Contact 241";47.9733677130704;-65.1077914724979;
"Sonar Contact 242";47.9731019425107;-65.1084289510043;"casier"
"Sonar Contact 243";47.9729477309737;-65.1117273079736;"casier"
"Sonar Contact 244";47.9732715657738;-65.1168803282363;
"Sonar Contact 245";47.9719467337388;-65.116985447603;
"Sonar Contact 246";47.9722454760423;-65.115811380534;
"Sonar Contact 247";47.9710257799378;-65.1220614569216;"casier"
"Sonar Contact 248";47.9704090857601;-65.1230610324471;
"Sonar Contact 249";47.9707427062616;-65.1309004135757;"casier"
"Sonar Contact 250";47.9698165335838;-65.1307503549806;
"Sonar Contact 251";47.9707025926014;-65.132826401995;
"Sonar Contact 252";47.9690819486423;-65.1334425377456;"casiercasier"
"Sonar Contact 253";47.9700401211337;-65.1344551002839;"casier"
"Sonar Contact 254";47.9692694075541;-65.134968964936;
"Sonar Contact 255";47.9696487638746;-65.1362463959682;
"Sonar Contact 256";47.969454388985;-65.1319203636374;
"Sonar Contact 257";47.9696350236434;-65.1305005147381;"casier"
"Sonar Contact 258";47.9670410639206;-65.1544704821813;"casier"
"Sonar Contact 259";47.967837676641;-65.15410816059;"casier"
"Sonar Contact 260";47.9282100561685;-65.2379700175991;"casier"
"Sonar Contact 261";47.9307922688984;-65.2368234820103;
"Sonar Contact 262";47.9344551719635;-65.23831111495;"casier"
"Sonar Contact 263";47.934617120316;-65.2362822242099;
"Sonar Contact 264";47.9344948453431;-65.2361708169413;
"Sonar Contact 265";47.9346816956391;-65.2362866225708;
"Sonar Contact 266";47.9361472891961;-65.2365100887848;
"Sonar Contact 267";47.9373723022133;-65.23729142644;
"Sonar Contact 268";47.9371912565618;-65.2353739253235;
"Sonar Contact 269";47.9366865669441;-65.2370029751711;
"Sonar Contact 270";47.9375072714748;-65.2350685994818;
"Sonar Contact 271";47.9382294630276;-65.2367537562248;"casier"
"Sonar Contact 272";47.9380650872828;-65.2356417711904;
"Sonar Contact 273";47.9434851563483;-65.2347293177504;"casier"
"Sonar Contact 274";47.9451850929954;-65.2333627292448;"casier"
"Sonar Contact 275";47.9462991397502;-65.2329770102933;
"Sonar Contact 276";47.9496552087371;-65.2339322133297;
"Sonar Contact 277";47.9496735739694;-65.233700514261;"casier"
"Sonar Contact 278";47.9526350418755;-65.1720400330785;
"Sonar Contact 279";47.9524270569809;-65.1719384271119;
"Sonar Contact 280";47.9532770933596;-65.1716699374055;"casier"
"Sonar Contact 281";47.953266328487;-65.1716071205117;"casier"
"Sonar Contact 282";47.9530629095137;-65.1705017558047;
"Sonar Contact 283";47.9524652732643;-65.1688736680245;
"Sonar Contact 284";47.9533075180337;-65.1683978727643;"casier"
